make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,brand,transmission,color,service_history,accidents_reported,insurance_valid,price_rub,region
2002,9.7,1800,Diesel,2,Hyundai,Manual,Silver,Partial,0,No,242073,Урал
2004,16.1,1500,Diesel,3,Hyundai,Manual,Black,Unknown,0,No,426029,Москва
2005,10.51,5000,Diesel,2,Ford,Manual,Gray,Full,0,No,727050,Юг
2019,14.27,2000,Petrol,5,Hyundai,Manual,White,Full,1,Yes,753168,Дальний Восток
2015,21.72,1000,Petrol,1,Toyota,Automatic,Black,Full,0,Yes,733390,Сибирь
2011,18.22,3000,Diesel,1,Hyundai,Manual,Silver,Full,0,Yes,970995,Дальний Восток
1995,19.19,800,Petrol,4,Nissan,Manual,Blue,Full,0,Yes,282470,Москва
2017,16.18,1000,Petrol,1,Kia,Manual,Gray,Unknown,0,Yes,626329,Москва
2011,21.23,1500,Diesel,4,Kia,Manual,Red,Partial,0,Yes,368029,СПб
2007,16.6,2000,Electric,3,Nissan,Manual,White,Unknown,0,Yes,835622,СПб
2004,19.42,1500,Diesel,1,Tesla,Manual,White,Partial,0,Yes,634510,Урал
1997,17.75,5000,Diesel,4,Tesla,Automatic,Silver,Partial,0,Yes,953478,Москва
2006,19.38,2500,Diesel,2,Hyundai,Manual,White,Unknown,0,Yes,740685,Москва
2012,21.83,3000,Petrol,1,BMW,Manual,Black,Full,0,No,917364,СПб
2010,18.24,1000,Electric,5,Honda,Automatic,Gray,Unknown,0,No,718680,СПб
2005,17.61,5000,Diesel,2,Volkswagen,Automatic,White,Full,1,Yes,1177576,СПб
2000,19.2,5000,Petrol,5,Honda,Automatic,Silver,Full,1,No,816917,Юг
2009,11.01,5000,Petrol,4,Nissan,Manual,Red,Partial,0,Yes,928860,Дальний Восток
2023,11.28,1200,Petrol,1,Kia,Automatic,Red,Partial,0,Yes,761142,Урал
1999,12.93,1200,Electric,4,Nissan,Automatic,Red,Full,1,No,408656,Дальний Восток
2004,15.13,3000,Diesel,1,Honda,Manual,Gray,Full,0,Yes,712506,Москва
2022,21.98,2500,Diesel,4,Ford,Automatic,Red,Unknown,0,Yes,882195,Урал
2001,12.88,2000,Petrol,4,Hyundai,Automatic,White,Full,1,Yes,401926,Москва
2008,14.14,1800,Petrol,4,Ford,Manual,Black,Full,0,Yes,328011,Сибирь
1995,11.66,800,Petrol,2,Honda,Automatic,Red,Partial,0,Yes,209183,СПб
2008,20.27,2000,Petrol,5,BMW,Automatic,Gray,Full,0,No,498976,Москва
2022,19.16,4000,Diesel,4,Volkswagen,Manual,Silver,Unknown,0,Yes,1053176,Москва
2022,19.3,1500,Diesel,5,Hyundai,Manual,White,Unknown,0,Yes,786494,Сибирь
2011,23.47,1800,Diesel,1,Chevrolet,Manual,Gray,Partial,1,Yes,823137,Москва
1998,16.71,5000,Diesel,1,Honda,Manual,White,Full,1,Yes,1002003,Юг
2000,14.49,5000,Electric,1,Volkswagen,Manual,White,Full,1,No,1316690,Сибирь
2004,20.37,1500,Petrol,1,Nissan,Manual,Black,Full,0,Yes,673461,Урал
2002,21.06,5000,Petrol,3,Honda,Automatic,Silver,Partial,0,Yes,1223407,Урал
2018,10.26,1800,Petrol,5,Volkswagen,Manual,Black,Unknown,0,No,666390,Урал
1998,14.65,1500,Petrol,5,Nissan,Manual,Gray,Partial,0,Yes,368287,Юг
2022,14.35,1000,Petrol,5,BMW,Manual,Black,Full,0,Yes,715876,Урал
2012,21.15,800,Petrol,3,Nissan,Automatic,Blue,Full,1,Yes,513279,Урал
2008,13.72,4000,Petrol,3,Nissan,Automatic,Black,Partial,0,No,935841,Урал
2016,26.53,2500,Petrol,3,Kia,Manual,Black,Partial,0,Yes,1062089,СПб
2008,9.62,1800,Electric,2,Honda,Manual,Black,Full,0,Yes,838279,Дальний Восток
2021,7.5,1500,Diesel,5,Nissan,Manual,Red,Full,0,Yes,507411,Юг
2005,22.85,5000,Petrol,4,Volkswagen,Manual,Gray,Full,1,No,866389,Урал
2005,6.87,1500,Diesel,3,Toyota,Automatic,White,Full,0,No,521629,Москва
2002,17.25,2500,Diesel,5,Volkswagen,Manual,White,Full,0,Yes,437305,Сибирь
2009,22.46,4000,Petrol,3,Ford,Manual,Silver,Full,0,Yes,845916,Дальний Восток
2019,21.29,4000,Diesel,4,Toyota,Automatic,Red,Partial,1,No,1092002,Сибирь
2022,23.01,1800,Diesel,2,Tesla,Automatic,Black,Partial,2,Yes,837249,СПб
1997,18.97,1800,Petrol,1,Ford,Automatic,White,Unknown,0,Yes,581490,СПб
2003,12.83,2500,Diesel,4,Toyota,Manual,Black,Partial,0,Yes,359648,СПб
2023,17.14,1500,Diesel,2,Toyota,Manual,Blue,Full,0,Yes,839241,Урал
1998,19.39,4000,Petrol,3,Ford,Manual,Black,Partial,0,Yes,657842,Сибирь
2018,19.23,1800,Diesel,1,Honda,Manual,Gray,Partial,0,Yes,648792,СПб
2001,13.01,1000,Electric,5,BMW,Automatic,White,Full,0,Yes,439251,Сибирь
2000,20.07,2000,Diesel,5,Volkswagen,Manual,Blue,Unknown,0,No,343976,Юг
1997,17.5,1200,Petrol,2,Honda,Manual,Blue,Unknown,1,No,409955,Москва
2013,12.79,1500,Diesel,1,Kia,Manual,Black,Partial,0,No,363161,Дальний Восток
2007,7.51,2000,Petrol,4,Tesla,Automatic,Blue,Partial,0,No,483302,Юг
2019,20.09,2500,Petrol,1,Nissan,Automatic,Red,Partial,1,Yes,994857,Юг
2018,12.55,4000,Petrol,2,Nissan,Automatic,Blue,Full,0,Yes,1245941,Урал
2016,18.62,2000,Petrol,3,BMW,Manual,Blue,Unknown,0,Yes,826258,Дальний Восток
2007,17.75,2000,Petrol,1,BMW,Manual,Black,Partial,0,Yes,584800,Москва
2003,23.17,2000,Diesel,1,Kia,Manual,Red,Full,0,Yes,694295,Урал
2014,19.37,4000,Diesel,2,Nissan,Manual,Blue,Full,0,Yes,984489,СПб
2021,17.22,3000,Diesel,3,Ford,Automatic,Black,Full,0,Yes,1041519,Дальний Восток
2000,13.76,2500,Diesel,5,Honda,Automatic,Red,Partial,0,Yes,488847,СПб
2009,7.7,800,Electric,1,Nissan,Automatic,Blue,Partial,1,Yes,633564,Урал
2015,20.95,1500,Petrol,2,Toyota,Automatic,Blue,Full,0,Yes,763391,Юг
1997,7.13,4000,Petrol,4,Honda,Manual,Gray,Partial,1,Yes,563878,Урал
1999,13.77,1500,Petrol,2,Volkswagen,Automatic,Blue,Unknown,0,No,467632,Дальний Восток
1998,19.5,1500,Petrol,1,Tesla,Manual,Blue,Unknown,0,No,505644,СПб
2023,13.09,1200,Petrol,3,Nissan,Manual,Blue,Unknown,0,No,662389,Юг
2003,16.51,4000,Petrol,4,Hyundai,Manual,Red,Full,1,Yes,854211,Дальний Восток
2018,13.61,1800,Petrol,1,Ford,Manual,Gray,Full,2,Yes,819987,Сибирь
2004,7.16,5000,Diesel,4,Volkswagen,Manual,Red,Unknown,0,Yes,825268,Москва
2019,21.32,1800,Diesel,4,BMW,Manual,Red,Full,2,Yes,717232,Сибирь
2005,13.15,3000,Petrol,1,BMW,Manual,Gray,Full,1,No,638677,Урал
2012,25.64,3000,Petrol,5,Honda,Manual,Gray,Full,0,Yes,672349,СПб
1998,8.87,2500,Diesel,4,Hyundai,Manual,Black,Unknown,0,Yes,385844,Москва
1997,17.64,5000,Petrol,2,Volkswagen,Manual,Silver,Partial,1,Yes,872301,СПб
2006,13.49,1500,Petrol,3,Chevrolet,Automatic,Gray,Partial,0,No,432154,Юг
2006,18.39,1200,Diesel,4,Tesla,Automatic,Red,Unknown,1,Yes,715340,Юг
2014,15.57,2500,Electric,1,Nissan,Automatic,Black,Partial,1,Yes,1100070,Сибирь
1997,18.22,1500,Petrol,5,Tesla,Automatic,Silver,Unknown,1,No,411844,СПб
2003,17.14,2500,Diesel,2,Kia,Manual,Blue,Full,0,Yes,610338,Москва
2019,11.82,3000,Diesel,4,BMW,Manual,Black,Full,0,Yes,747604,Сибирь
2006,19.06,5000,Diesel,5,Chevrolet,Automatic,Silver,Partial,0,Yes,933011,СПб
2002,8.92,1500,Diesel,5,Nissan,Manual,Silver,Partial,1,Yes,197584,Москва
2005,15.51,4000,Petrol,5,Kia,Manual,Black,Full,0,Yes,611017,Урал
2008,23.59,1000,Petrol,3,Ford,Manual,Blue,Full,0,No,496124,Юг
2007,21.24,1800,Petrol,1,Kia,Automatic,White,Full,0,Yes,629756,Урал
2002,25.39,1000,Petrol,2,Tesla,Manual,Blue,Partial,1,Yes,531963,Сибирь
2000,13.8,1800,Diesel,4,Nissan,Manual,White,Unknown,1,Yes,318225,Юг
2020,19.67,4000,Petrol,4,Honda,Automatic,Gray,Unknown,0,Yes,856332,Дальний Восток
2018,9.59,800,Diesel,4,Volkswagen,Automatic,White,Unknown,0,Yes,531235,СПб
2010,28.56,3000,Diesel,4,Kia,Manual,Blue,Full,2,Yes,994952,Дальний Восток
1999,22.56,2500,Petrol,4,Nissan,Automatic,Red,Unknown,0,Yes,556538,СПб
2021,14.5,800,Petrol,4,Nissan,Manual,Red,Full,1,Yes,500837,Сибирь
2001,16.32,3000,Diesel,4,Hyundai,Manual,Red,Full,1,Yes,559586,Урал
2022,16.28,1500,Diesel,1,Hyundai,Automatic,Gray,Unknown,0,Yes,708487,Москва
2014,16.6,2500,Diesel,1,Volkswagen,Manual,Red,Full,1,Yes,800176,Дальний Восток
2001,14.33,5000,Petrol,4,Tesla,Automatic,Silver,Full,0,No,824151,Урал
1998,27.27,1200,Petrol,1,Honda,Automatic,Black,Full,0,Yes,617409,Урал
2009,19.85,1000,Petrol,1,Toyota,Manual,Silver,Partial,2,Yes,598462,Дальний Восток
